th1,th2
-0.22980571437878994,0.8363668628652521
-0.22959475976770455,0.8354530737356789
-0.22840988678497864,0.8332779498795357
-0.22646335204827256,0.8301354402001743
-0.22393043036224233,0.8262702473878056
-0.2209572319980065,0.8218886846049069
-0.2176667866714554,0.8171670556069472
-0.21416372834466826,0.8122580249546952
-0.21053785388714846,0.8072953620222666
-0.20686678009420525,0.8023973768606505
-0.20321788485754977,0.7976693138135791
-0.19964968724078203,0.7932049270236907
-0.1962127960871245,0.789087428146712
-0.1929505361908701,0.7853899687481156
-0.1898993439015305,0.7821757964449859
-0.1870890094449458,0.7794982036759774
-0.18454283058171278,0.7774003701226879
-0.18227773098773142,0.775915183595076
-0.18030438657790884,0.7750651091602261
-0.17862739365729222,0.774862162131468
-0.1772455041203176,0.7753080270722171
-0.17615194484747349,0.776394352142514
-0.17533483094527078,0.7781032359464869
-0.17477767555819435,0.780407912608019
-0.17445999269802775,0.7832736302337294
-0.17435798395231797,0.7866587083647182
-0.17444529512321338,0.7905157516265634
-0.17469382488253624,0.7947929897092871
-0.175074564471737,0.7994357081748711
-0.1755584453737518,0.8043877304997662
-0.1761171707645624,0.8095929092770665
-0.17672400641792094,0.8149965836483636
-0.17735450756310492,0.8205469607836687
-0.177987159931033,0.8261963815071096
-0.17860391578979584,0.8319024338585926
-0.1791906090624178,0.8376288833267964
-0.1797372375106329,0.8433463944886722
-0.1802381043130337,0.8490330256158468
-0.18069181600441908,0.8546744852064109
-0.18110113850696946,0.860264147104271
-0.18147271770131648,0.8658028286048475
-0.18181667548767588,0.8712983434465967
-0.18214609641357146,0.876764848596933
-0.18247642354899632,0.8822220100246594
-0.18282478524505355,0.8876940180045316
-0.1832092766147062,0.8932084867547697
-0.18364822094793531,0.8987952762382306
-0.1841594367718267,0.9044852756806725
-0.1847595358736418,0.9103091887402199
-0.1854632763382626,0.9162963593132806
-0.18628299255800232,0.9224736747422048
-0.18722812132926642,0.9288645798002805
-0.18830483965984815,0.9354882304099925
-0.18951582589814903,0.9423588107732669
-0.1908601514046345,0.9494850316559179
-0.19233330537236923,0.9568698211891883
-0.19392735073059333,0.9645102129557628
-0.19563120449726903,0.9723974295445041
-0.1974310316429685,0.9805171534097894
-0.19931073763867815,0.9888499709662364
-0.20125254151778538,0.9973719705754858
-0.20323760860117313,1.0060554705993363
-0.20524672010331235,1.0148698501319064
-0.20726095571869554,1.0237824524761503
-0.20926236501491138,1.0327595299528227
-0.21123460403400535,1.0417671982401266
-0.21316351490040206,1.0507723691190718
-0.21503762839568358,1.0597436321861895
-0.2168485723054799,1.068652058701945
-0.21859137176577367,1.0774719041514387
-0.22026463170977745,1.086181190161698
